County Name,Assessor Data Access,Tax Collector Data,Recorder Data,Parcel Maps,Auction Platform,Auction Schedule,Legacy Data Availability,Connector Status,Complications,Data Quality Score,Cost/Access Notes,Reconciliation Monitoring,Excess Proceeds Handling,Bot Protection Type,Recorder Search Mode,Owner Lookup Legal Restriction,Official Document Source,Last Verified Date,Parcel/APN Source Availability,Assessor Source Availability,Tax-Default/Delinquency Source Availability,Recorder/Index Availability,Tax-Sale/Auction-List Availability,Redemption/Sale-Outcome Detection,Source Format,Evidence/Provenance Availability,Automation Difficulty,Inventory & Buyer-Fit Estimate,Status (Green/Yellow/Red/Unknown),Exact Blocker / Next Validation Step
San Bernardino,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - occurred July 11-17 2026. THIRD PLATFORM FAMILY FOUND: sbcounty.mytaxsale.com (MyTaxSale.com, not Bid4Assets/GovEase)",Unknown - not tested,GIS/API (ArcGIS),Real policy PDF on excess-proceeds claims (Policy No. 05-52),Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
San Diego,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL, VERY LARGE - March 2026 auction: 686 properties (70 improved homes, 66 unimproved lots, 550 timeshares), $18.2M tax revenue generated. Platform: sdttc.mytaxsale.com.",Unknown - not tested,API (Socrata),Real dedicated excess-proceeds page (sdttc.com),Unknown - not tested,Highest-volume single find of this discovery pass - very strong candidate,Yellow - strong candidate,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
San Francisco,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - April 20-23 2026 (internet) + May 14 2026 (sealed bid, City Hall). Platform: sanfrancisco.mytaxsale.com.",Unknown - not tested,API (Socrata),"Real official auction-publication PDF found, directly downloadable (sftreasurer.org)",Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
San Joaquin,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/sanjoaquin/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - March 11-12 2026, Bid4Assets",Unknown - not tested,HTML (MPTS) - CONFIRMED,"BEST FIND OF THIS DISCOVERY PASS - real official PDF 'San Joaquin County Tax Sale Excess Proceeds List March 11-12 2026' (sjgov.org), confirmed downloaded (450KB), description explicitly states it contains PREVIOUS OWNER, SITUS ADDRESS, REDEMPTION AMOUNT, PURCHASE PRICE, AND EXCESS PROCEEDS - names + amounts together, same gold-standard pattern as Tulare tonight. Not yet text-extracted (needs pypdf).",Unknown - not tested,Unknown - not tested,Yellow - HIGHEST PRIORITY next validation step of the entire discovery pass,Extract the real PDF with pypdf (same method as Fresno/Humboldt/Tulare) - source already confirmed real and downloaded
San Luis Obispo,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL, ongoing program - 'Sale #268' results page + dedicated 'Results of Previous Auctions' archive (slocounty.ca.gov)",Unknown - not tested,GIS/API (ArcGIS),May 28 2025 excess-proceeds notice referenced (likely past its 1-year claim window by now),Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
San Mateo,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"Platform confirmed real (sanmateo.mytaxsale.com), no specific 2026 date found this pass (most recent dated reference Aug 2023)",Unknown - not tested,GIS/API (ArcGIS),"Real downloadable 'Notice of Right to Claim Excess Proceeds' PDF found (smcgov.org/media/146020), not yet dated/extracted",Unknown - not tested,Unknown - not tested,Yellow/Unknown - needs a follow-up search specifically for a 2026 date,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Santa Barbara,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"Platform confirmed real (Bid4Assets), no specific 2026 date or document found this pass",Unknown - not tested,GIS/API (ArcGIS),Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown - weakest result in this batch,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Santa Clara,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,"Guessed Tyler DNS patterns all failed (weak test, not search-confirmed) - Unknown",Bid4Assets (historical Oct 2017 listing found); no 2026 date confirmed this pass,Unknown - not tested,GIS/API (ArcGIS),County publishes a 'Notice of Right to Claim Excess Proceeds' doc TYPE - current real instance not found,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Santa Cruz,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,"santacruzcountyca-web.tylerhost.net DNS-resolves (real infra exists) but root path 404s - functional path unknown, same pattern as Humboldt/Shasta","Bid4Assets, 2026 auction ENDED June 8 2026. Real 'Notice of Impending Power to Sell' dated June 8 2026 exists.",Unknown - not tested,HTML (MPTS),"FLAGGED, NOT TRUSTED - a PDF titled 'SCO Figure 9.8 Notice of Right to Claim...' strongly resembles a State Controller's Office REFERENCE TEMPLATE, not real Santa Cruz-specific data. PDF also unextractable via WebFetch (binary/corrupted). Do not treat as real without re-verification.",Unknown - not tested,Unknown - not tested,"Yellow (auction real; excess-proceeds doc authenticity UNCONFIRMED, possible false lead)",Re-fetch the 'SCO Figure 9.8' PDF with pypdf to confirm whether it's a real filled Santa Cruz notice or a blank state template
Shasta,"MPTS - CONFIRMED LIVE 2026-08-08, but at common1.mptsweb.com, NOT common2 as the county's yaml scaffolding wrongly stated (common2 404s). Real APN 006700004000: vacant land, $34,585 total - matches independently.",Unknown - not tested tonight,"Tyler (recorderselfservice.shastacounty.gov) - bare root URL 404s, real search path not yet found. Prior session's yaml claim unverified by me.",Unknown,Bid4Assets (confirmed via web search); county's own yaml scaffolding incorrectly says GovEase - uncorrected there,"Sales occurred Feb 27 & Mar 27, 2026 - already happened",Unknown,Only excess-proceeds enrichment built (shasta_excess_enrich.py),"Main county site (shastacounty.gov) is behind a Cloudflare JS challenge - plain curl fails with 'Just a moment...', but any real/stealth browser passes it automatically","High for the 23 real excess-proceeds leads (signed notice, real named parties). County does NOT publicly disclose dollar amounts at all - structural gap, not a data-quality issue.",$0,Not built,"YES (partial) - real named parties of interest, but NO dollar amounts published by the county (disclosed to claimant only after filing)",Cloudflare JS challenge on shastacounty.gov (passes automatically with any real/stealth browser),Unknown (untested tonight),Unknown,YES - official signed 'Notice of Right to Claim Excess Proceeds',2026-08-08 (assessor only; recorder still unverified),Unknown - not tested beyond the single assessor confirm,"Yes - CONFIRMED LIVE tonight, but at common1.mptsweb.com, NOT common2 as the county's own yaml scaffolding wrongly stated",Unknown - not tested tonight,"Unknown - bare root URL 404s, real search path not found tonight","Partial - sales occurred Feb 27 & Mar 27 2026, real auction platform not independently confirmed (yaml says GovEase, web search suggests Bid4Assets - unreconciled, same pattern as Merced)",Not applicable yet,PDF (excess-proceeds notice) + HTML (assessor). Main county site is behind Cloudflare.,High for excess-proceeds names (signed notice); ZERO for amounts (county does not publicly disclose them at all - structural),"Low-medium - Cloudflare JS challenge on main site, passes automatically with stealth browser","23 real leads with real named claimants, no dollar amounts available publicly - lower buyer-fit for a cold-outreach product without a number to lead with","Yellow - excess-proceeds chain partially proven (names yes, amounts no); pre-auction chain untested",Resolve GovEase vs Bid4Assets platform inconsistency; find real recorder search path
Sierra,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"Bid4Assets confirmed (re-offer listing found), no specific date confirmed",Unknown - not tested,HTML (MPTS),Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown/Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Siskiyou,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/siskiyou/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"CONFIRMED REAL - Bid4Assets, primary sale May 8-11 2026, re-offer June 12-15 2026, real 2026 FAQ PDF exists",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Solano,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"NOTABLE - uses solano.mytaxsale.com, a DISTINCT platform, not Bid4Assets/GovEase. Real 'Prior Sale Results' page exists. Re-offer June 17-18 2026 confirmed. Real Board Resolution PDF (solano.legistar.com).",Unknown - not tested,GIS/API (ArcGIS),"Claim form + instructions referenced, no parcel-level list found yet",Unknown - not tested,Unknown - not tested,"Yellow - worth a deeper look, unique platform with a real 'Prior Sale Results' page (similar novel pattern to Sonoma)","Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Sonoma,Not tested tonight,e-Tax Billing portal exists (sonomacounty.gov) - not tested tonight,Not tested tonight,Unknown,Bid4Assets (www.bid4assets.com/Sonoma) - confirmed real,"Most recent: Nov 7-10, 2025 (completed). No 2026 auction listed yet on the county's page.","Real Nov 2025 auction results table (57 parcels, embedded directly in the county's own webpage, not a PDF)",Working - sonoma_excess_enrich.py (parses the embedded results table),No separate excess-proceeds notice published with parcel detail - county only offers a generic claim form. Had to use the auction RESULTS table instead (different pattern than any other county so far) and estimate excess as sold-price-minus-minimum-bid.,"High for sale data (real APN, real former owner, real min bid, real sale price - all from the county's own table). Excess amount is an ESTIMATE, not a county-confirmed figure.",$0,Not built,"YES (via auction results table, not a dedicated notice) - 18 real leads, ~$1.97M estimated total, real names, deadline ~Nov 2026 (HIGH URGENCY)",None encountered,Unknown (untested),Unknown,"YES (novel pattern) - the county's own public auction RESULTS page has a real embedded per-parcel table, not a separate PDF notice",2026-08-08,"Yes - real Nov 2025 auction results table (57 parcels, embedded directly on the county's own page)",Unknown - not tested tonight,Unknown - not tested tonight,Unknown - not tested tonight,"Yes - Bid4Assets confirmed, Nov 7-10 2025 (occurred), no 2026 date listed yet","Yes - real per-parcel outcome (Redeemed/Withdrawn/Sold-$X/No Bid) directly from the county's own results table - a novel, high-value pattern","HTML (embedded table, not a separate PDF - novel pattern vs. every other county tonight)","High - real APN, real former owner, real min bid, real sale price, all from one county-published table","Low - no CAPTCHA, no bot protection encountered","18 real leads (of 57 total), ~$1.97M estimated total excess (estimate, not county-confirmed) - the single largest dollar find of the night. Real, wealthy real estate market.",Yellow - excess-proceeds chain proven via a novel source pattern; pre-auction chain (assessor/recorder) completely untested,Test MPTS-style assessor/recorder endpoints live to build the pre-auction side; also check for a 2026 auction date
Stanislaus,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/stanislaus/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"CONFIRMED REAL - Bid4Assets, May 18-20 2026",Unknown - not tested,HTML (MPTS) - CONFIRMED,"Real dedicated excess-proceeds page exists, but only linked list is from May 2024 - STALE, likely past the 1-year claim deadline already",Unknown - not tested,Unknown - not tested,"Yellow (real infra, stale data)","Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Sutter,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"CONFIRMED REAL, FORWARD-LOOKING - Bid4Assets, Nov 13-16 2026 (upcoming, has NOT happened yet - real future lead)",Unknown - not tested,HTML (MPTS),"'Prior Tax Sale/Excess Proceed Archives' page exists, current list not confirmed",Unknown - not tested,Unknown - not tested,Yellow - worth prioritizing given the real forward-looking date,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Tehama,"MPTS (apps.mptsweb.com/TaxBillv2) - free, live, no CAPTCHA. TAX_YEAR=2026 confirmed correct.",Same MPTS system as assessor (combined),Tyler EagleWeb - disclaimer page gated by REAL Google reCAPTCHA v2. No free bypass found (confirmed: stealth browser can't get the accept button to enable even after clicking the checkbox).,"tehama_AUTHORITATIVE_master_index.csv - full 40,059-parcel county roll",Not confirmed (no scheduled auction currently),None scheduled - county says 'tentatively planning first half of 2027',"Full 40,059-parcel roll, being processed in 15% chunks (45% done as of 2026-08-08)",Working - tehama_tax_bill.py (default detection + assessed value). No working recorder connector.,Owner name only available for 24 parcels matching a small local list (pre_auction_intel.csv); recorder reCAPTCHA blocks the rest entirely - real owner data for most of this county's ~500+ genuinely-defaulted parcels does not exist yet,Financial/default data: high (live-verified). Owner verification: low (recorder blocked for most parcels).,$0 for assessor. Recorder needs a paid CAPTCHA-solving service or manual human solve.,Not built,Not built (no auction has occurred),Google reCAPTCHA v2 on recorder; none on assessor/tax bill,Unknown/untested - blocked before reaching the actual search form,None known (just the reCAPTCHA wall),Not found yet,2026-08-08,"Yes - tehama_AUTHORITATIVE_master_index.csv, full 40,059-parcel roll","Yes - MPTS, live, free, no CAPTCHA","Yes - same MPTS system, real default-case-number regex proven (fixed a false-positive bug tonight)","BLOCKED - Tyler EagleWeb disclaimer gated by real Google reCAPTCHA v2, no free bypass found (confirmed via direct checkbox click test)",None scheduled - county says 'tentatively planning first half of 2027',Yes for default status (live-verified); owner-transfer detection not possible (recorder blocked),HTML (MPTS),High for financial/default data (~791 dossiers before recorder-verification standard was tightened); zero for owner identity beyond 24 locally-matched parcels,Low for assessor; recorder is a hard wall (needs paid CAPTCHA service or manual solve),"~500+ genuinely-in-default parcels found across 45% of the roll so far, but owner-unverified for nearly all - low buyer-fit until recorder wall solved","Yellow - financial chain proven, owner-identity chain broken (recorder wall)",Recorder reCAPTCHA - needs a paid CAPTCHA-solving service or the user manually solving it once to test cookie reuse
Trinity,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"Bid4Assets referenced generically, no specific date confirmed",Unknown - not tested,HTML (MPTS),Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Tulare,Unknown - not tested tonight,Unknown - not tested tonight,Unknown - not tested tonight,Unknown,GovEase (confirmed via tularecounty.ca.gov: 'Place: www.GovEase.com'),"March 3, 2026 auction (occurred); re-offer May 19, 2026",Unknown,Only excess-proceeds enrichment built (tulare_excess_enrich.py),"None encountered - no CAPTCHA, no Cloudflare wall on the documents used","High - real assessee names AND real dollar amounts together in the same document, best-quality excess-proceeds source found this session",$0,Not built,"YES - real names AND real amounts, $90,703.37 total across 9 parcels",None encountered,Unknown (untested),Unknown,"YES - official 'March 3, 2026 Tax Auction Excess Proceeds Report' (tc-web.widen.net, a Widen DAM CDN linked from the county's own site)",2026-08-07 (excess proceeds only),Unknown - not tested tonight,Unknown - not tested tonight,Unknown - not tested tonight,Unknown - not tested tonight,"Yes - GovEase confirmed (county's own page: 'Place: www.GovEase.com'), March 3 2026 auction (occurred), re-offer May 19 2026",Not applicable yet,PDF/Widen DAM CDN document (tc-web.widen.net) - real official excess-proceeds report,"Very high - real assessee names AND real dollar amounts together in one official document, best-quality source found all night","Low - no CAPTCHA, no Cloudflare wall on the documents used","9 real leads, $90,703.37 total, names + amounts both real - small but very high quality",Yellow - excess-proceeds chain fully proven and excellent; pre-auction chain completely untested,Test assessor/recorder endpoints live (untouched so far) to build out the pre-auction side
Tuolumne,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/tuolumne/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"CONFIRMED REAL - Bid4Assets, May 14 2026 + June 18 2026 re-offer",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Ventura,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"CONFIRMED REAL - Bid4Assets, May 12 2026",Unknown - not tested,GIS/API (ArcGIS),No county-specific excess-proceeds document found (generic CA law info only),Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Yolo,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/yolo/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,MIXED SIGNAL - May 2023 auction was CANCELLED per Bid4Assets listing title; a 2026 listing ('YoloMay26') also exists,Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,"Unknown - auction cadence unstable, check current status before investing build time","Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Yuba,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 4 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/yuba/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Guessed Tyler DNS patterns all failed - Unknown,"MIXED SIGNAL - Bid4Assets, historical Feb 2024 listing + a POSTPONED re-offer listing (instability signal)",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown - auction cadence unstable,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
